country	thirteen	fourteen	fifteen	sixteen	seventeen	eighteen	nineteen	twenty	twentyone	twentytwo
Albania	12.804	13.219	11.364	11.868	13.059	15.059	15.418	14.034	16.77	17.942
Andorra	3.283	3.355	2.813	2.879	3.021	3.238	3.155	2.864	3.213	3.4
Armenia	11.121	11.61	10.553	10.546	11.527	12.433	13.444	12.813	13.612	21.347
Austria	430.203	442.698	381.998	394.215	417.721	456.166	447.718	432.894	481.209	479.815
Azerbaijan	74.16	75.24	50.844	37.83	41.375	46.94	47.171	41.666	52.645	73.369
Belarus	75.496	78.736	56.329	47.703	54.723	59.643	62.572	57.708	65.754	59.394
Belgium	521.09	531.651	456.067	469.931	495.953	532.268	517.609	503.416	581.848	609.887
Bosnia and Herzegovina	18.155	18.522	16.21	16.91	18.081	20.162	20.106	18.893	21.692	23.358
Bulgaria	55.557	56.815	50.201	53.236	58.342	65.197	66.25	67.917	77.907	89.533
Croatia	58.158	57.683	49.519	51.623	55.201	60.805	60.702	56.768	63.399	69.459
Cyprus	24.094	23.401	19.691	20.461	22.189	24.493	24.28	23.246	26.546	27.726
Czech Republic	209.402	207.818	186.83	195.09	215.914	245.226	246.953	241.975	276.914	296.238
Denmark	343.584	352.994	302.673	311.988	329.866	352.058	347.176	339.626	396.666	399.1
Estonia	25.145	26.658	22.916	23.994	26.85	30.761	31.038	30.468	36.039	37.202
Finland	270.065	273.042	232.582	239.15	252.867	274.21	269.654	267.856	296.016	297.617
France	2,811.96	2,856.70	2,439.44	2,466.15	2,591.78	2,780.15	2,707.07	2,551.45	2,940.43	2,936.70
Georgia	16.14	16.51	13.993	14.378	15.08	16.209	15.925	16.316	17.846	20.889
Germany	3,753.69	3,904.92	3,383.09	3,496.61	3,664.51	3,951.34	3,863.34	3,780.55	4,230.17	4,256.54
Greece	239.937	237.406	196.69	195.303	203.493	218.23	214.012	194.376	211.645	222.77
Hungary	135.221	140.083	123.074	126.008	139.844	161.182	170.407	149.939	180.959	197.813
Iceland	16.034	17.758	17.389	20.618	24.457	25.965	23.918	20.805	25.476	27.865
Ireland	238.708	259.2	290.858	301.968	335.211	382.754	384.94	399.064	516.253	516.146
Italy	2,131.16	2,155.15	1,833.20	1,869.97	1,950.70	2,075.86	2,001.44	1,848.22	2,120.23	2,058.33
Latvia	30.26	31.385	26.986	27.707	30.528	34.882	35.045	33.015	37.199	40.266
Liechtenstein	6.392	6.657	6.268	6.215	6.215	6.839	6.839	6.872	6.872	6.872
Lithuania	46.423	48.632	41.538	42.991	47.645	53.302	53.641	55.064	62.635	69.782
Luxembourg	61.759	66.209	57.233	58.985	62.449	69.553	69.453	68.613	83.771	86.898
Malta	10.154	11.302	10.701	11.446	12.764	14.56	14.859	14.29	16.695	17.251
Republic of Moldova	9.496	9.51	7.726	8.072	9.67	11.309	11.688	11.241	12.396	13.811
Monaco	6.595	7.069	6.194	6.39	6.291	7.188	7.424	6.817	6.817	6.817
Montenegro	4.466	4.595	4.055	4.376	4.855	5.457	5.424	4.943	5.494	6.018
Netherlands	877.198	892.397	765.65	783.852	833.575	914.519	902.355	886.339	1,007.56	1,013.60
North Macedonia	10.824	11.378	10.067	10.686	11.308	12.67	12.672	12.51	13.885	14.198
Norway	523.502	499.338	386.663	371.345	398.394	434.167	417.627	366.386	445.507	541.938
Poland	524.399	545.284	477.568	471.843	526.749	585.816	565.854	580.894	655.332	699.559
Portugal	226.144	229.995	199.521	206.361	221.28	240.901	236.408	221.716	251.709	251.915
Romania	190.948	199.628	177.895	188.495	211.407	239.552	243.698	248.624	287.279	312.492
Russia	2,289.24	2,056.58	1,363.71	1,282.66	1,579.29	1,657.29	1,637.89	1,464.08	1,778.53	2,133.09
San Marino	1.678	1.674	1.42	1.468	1.528	1.638	1.591	1.41	1.728	1.698
Serbia	48.394	47.062	39.629	40.63	44.12	50.509	51.523	51.999	60.669	65.037
Slovakia	98.509	101.109	87.814	89.885	95.821	106.573	106.552	101.892	116.748	118.434
Slovenia	48.131	49.969	43.124	44.66	48.545	54.059	54.154	51.802	60.89	63.647
Spain	1,362.28	1,379.10	1,199.69	1,238.01	1,317.10	1,427.53	1,397.87	1,247.46	1,439.96	1,435.56
Sweden	579.361	574.413	498.118	512.205	540.545	556.073	528.929	529.054	622.365	621.241
Switzerland	688.747	709.496	679.721	670.247	680.029	705.546	715.36	707.868	810.83	841.969
Turkey	950.328	934.075	859.449	863.39	852.648	771.274	743.708	649.436	795.952	692.38
Ukraine	179.572	130.571	90.489	93.313	112.125	130.857	150.401	142.25	181.038	198.316
United Kingdom	2,755.36	3,036.31	2,897.06	2,669.11	2,640.07	2,828.83	2,743.59	2,638.30	3,108.42	3,376.00
Vatican City	0.574	0.569	0.564	0.556	0.547	0.537	0.528	0.520	0.511	0.510
